Nom;Adresse;Contact;Numero;"Date Ajout"
"You Order";"55 Rue La Boétie, 75008 Paris, France";"Joel Ndombasi";0786334572;19/05/2015
"Rice Trotters";"22 Rue du Colisée, Paris, France";"Laurianne Ferté";0686454988;15/05/2015
"Comptoir Des Vignes";"8 Rue Brochant, 75017 Paris, France";"Christelle Lafont";0183966751;29/04/2015
Igloo;"31 Rue des Jeuneurs, 75002 Paris, France";"Edouard Remise";0618031571;13/05/2015
"Bagel Corner 4 Septembre";"24 Rue du 4 Septembre, 75002 Paris, France";"Florent SAUVEUR";0984141458;24/04/2015
"TEST JO";"55 Rue La Boétie, Paris, France";;;14/04/2015
Mabento;"35 Cours Michelet, 92800 Puteaux, France";"Thierry Falchero";0676668460;13/04/2015
"Les Nouveaux Fromagers";"27 Rue du Chemin Vert, 75011 Paris, France";"Olivier Birade";0607128147;13/04/2015
"La Caravane Dorée";"64 Rue Pasteur, 94800 Villejuif, France";"Adrien Dorée";0619565303;13/04/2015
"City Chef";"5 Rue Bleue, 75009 Paris, France";"Diane Mironesco";0688236861;13/04/2015
"Cook Angels";"54 Rue Laugier, 75017 Paris, France";"Joy Solal";0609524821;13/04/2015
"L'Etoile Des Gourmets";"12 Rue des Pommiers, 94300 Vincennes, France";"Mathieu Robbe";0631247685;13/04/2015
"Les Petits Donuts";"20 Rue Chanzy, 75011 Paris, France";"Pierre Mentong";0788316786;13/04/2015
Eugène;"11 Rue Guillaume Tell, 75017 Paris, France";"Grégoire Touchet";0783079244;13/04/2015
"Frichti Sud";"19 Rue Popincourt, Paris, France";julia@frichti.co;0660868977;25/05/2015
Lina's;"37 Rue La Boétie, Paris, France";"Stéphan' Gouin";;26/05/2015
"Factory & Co Bourse";"109 Rue Montmartre, 75002 Paris, France";"Céline Gallardo";0614802761;28/05/2015
"Créative Com";"1 Boulevard des Bouvets, Nanterre, France";"Ghislain Crémet";0607781969;28/05/2015
"Bagel Corner Godot De Mauroy";"41 Rue Godot de Mauroy, 75008 Paris, France";"Florent SAUVEUR";0984141458;31/05/2015
"Bagel Corner Jussieu";"29 Rue Linné, 75005 Paris, France";"Florent SAUVEUR";0984141458;31/05/2015
"Bagel Corner Boétie";"19 Rue La Boétie, 75008 Paris, France";"Florent SAUVEUR";0984141458;31/05/2015
"Rosa Kiwi";"4 Rue Mouffetard, 75005 Paris, France";victory@rosakiwi.com;0622025272;01/06/2015
"test mh2";"25 Rue Béranger, Paris, France";;0606060606;03/06/2015
"test mh";"24 Rue Béranger, Paris, France";;;03/06/2015
"Frichti Nord";"20 Rue Pierre Fontaine, 75009 Paris, France";julia@frichti.co;0660868977;07/06/2015
Rania;"26 Rue Godot de Mauroy, Paris, France";;;11/06/2015
"Casa Milano";"178 Rue de Grenelle, 75007 Paris, France";;;11/06/2015
Alancienne;"42 Avenue Pasteur, Courbevoie, France";contact@alancienne.co;;16/06/2015
Comoncloud;"27 Rue du Chemin Vert, 75011 Paris, France";"Adrien Rogissart";0658819852;16/06/2015
"400 coups de la Cinémathèque";"21 Rue de Bercy, Paris, France";"Séverine Haiat";"01 43 44 18 72";23/06/2015
"L'Etoile Des Gourmets 2";"20 Rue du Vertbois, 75003 Paris, France";"Mathieu Robbe";0631247685;30/06/2015
"Etoile Des Gourmets";"7 Rue du Grand Prieuré, 75011 Paris, France";m.robbe@etoiledesgourmets.com;"06 31 24 76 85";02/07/2015
"Glaces Glazed";"54 Rue des Martyrs, 75009 Paris, France";"Florence de Dreux-Brézé";0783936498;02/07/2015
"Hugo Desnoyer";"12 Rue de Campo-Formio, 75013 Paris, France";"Gilles Penot";0667903342;06/07/2015
"Hugo Desnoyer Docteur Blanche";"28 Rue du Docteur Blanche, Paris, France";"Gilles Penot";0681297909;17/07/2015
"La Caisse Tactile";"22 Rue Jean-Baptiste Huet, Villiers-sur-Orge, France";"Elid Or";0607142935;06/08/2015
"Hugo Desnoyer Boulard";"45 Rue Boulard, Paris, France";"Gilles Penot";0681297909;07/08/2015
"Du Bon Pain";"Avenue Bernard Hirsch, Cergy, France";"Maxime Renault";0764076436;20/08/2015
"Du Bon Pain La Boulangerie Prestigieuse";"149 Rue Montmartre, Paris, France";"Maxime Renault";0764076436;25/08/2015
"Mon Voisin cuisine";"55 Rue La Boétie, Paris, France";"Anouck Talban";0666716587;31/08/2015
Léonie;"55 Rue La Boétie, Paris, France";"Mylène Surget";0662157254;31/08/2015
"Bistrot des Campagnes";"6 Rue Léopold Robert, 75014 Paris, France";;;03/09/2015
Chalizar;"121 Avenue du Maine, 75014 Paris, France";;;03/09/2015
"Da Zagara";"37 Avenue Duquesne, 75007 Paris, France";;;03/09/2015
